timestamp,decision,confidence,fused_signal,close,ret_next,is_correct
2025-09-24 07:57:41.906704+00:00,HOLD,0.9969224699700235,0.0030775300299764673,490.5347430000508,0.004242204416222473,False
2025-09-24 07:57:55.862935+00:00,HOLD,0.898792996460089,0.10120700353991093,490.5347430000508,0.004242204416222473,False
2025-09-24 08:15:59.732789+00:00,HOLD,0.9725940113371102,0.027405988662889763,492.6156916531162,-0.004741699850007608,False
2025-09-24 09:55:36.217917+00:00,HOLD,0.9543640463005509,0.04563595369944911,491.8077721444688,-0.002969405356527788,False
2025-09-24 09:55:49.506278+00:00,HOLD,0.9684785296461691,0.031521470353830884,491.8077721444688,-0.002969405356527788,False
2025-09-24 10:40:19.371518+00:00,HOLD,0.94476970821599,0.055230291784009934,493.3303387924982,0.001605271918034612,True
2025-09-24 11:33:54.264918+00:00,HOLD,0.9068745513110195,0.0931254486889806,494.0953985608085,-0.0013349874145535123,True

# KPIs par type de décision
decision,n,win_rate,mean_ret_next,median_ret_next,mean_confidence,mean_fused_signal
HOLD,7,0.2857142857142857,-0.000275116746733877,-0.0013349874145535123,0.9489709018915645,0.05102909810843538
